,name,type,typecode,biz_type,address,location,postcode,pcode,pname,citycode,cityname,adcode,adname,business_area,discount_num,cost,rating,meal_ordering,tel
0,江淮轿车(富侨店),汽车销售;汽车销售;汽车销售,20000,[],合江镇长江路267号,"105.826761,28.812128",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],3,None,0830-5266458
1,合江鑫盛汽贸,汽车销售;汽车销售;汽车销售,20000,[],合江镇符节路335号,"105.818888,28.818036",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,0830-4293156;0830-5268276
2,北汽幻速直营店,汽车销售;汽车销售;汽车销售,20000,[],建设路上段与308省道交叉口西北50米,"105.819371,28.816624",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
3,华晨金杯,汽车销售;汽车销售;汽车销售,20000,[],建设路中段与长江路交叉口北50米,"105.825635,28.811666",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
4,九支鼎承,汽车销售;汽车销售;汽车销售,20000,[],枝园街40号附近,"105.696768,28.595376",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
5,东风汽车直营店,汽车销售;汽车销售;汽车销售,20000,[],三江街与建设路中段交叉口西北50米,"105.830208,28.809169",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
6,众幸汽贸公司,汽车销售;汽车销售;汽车销售,20000,[],华剪坝新街75号,"105.696243,28.595996",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,0830-8880578
7,五菱汽车(符节路),汽车销售;汽车销售;汽车销售,20000,[],符节路东50米,"105.818672,28.818303",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
8,洪洋汽贸,汽车销售;汽车销售;汽车销售,20000,[],小康街与枝园街交叉口东南50米,"105.690100,28.585060",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
9,合江县协弘汽车销售有限公司,汽车销售;汽车销售;汽车销售,20000,[],建设路上段276-280号,"105.821039,28.816106",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],5,None,0830-5262869;18117969069
10,源鑫汽贸有限公司,汽车销售;汽车销售;汽车销售,20000,[],九支镇华剪坝新街二友酒楼旁边,"105.697273,28.597049",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,0830-5905028;18982406077
11,陆风汽车,汽车销售;汽车销售;汽车销售,20000,[],华剪坝新街58号附近,"105.696978,28.596792",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
12,众信汽车超市,汽车销售;汽车销售;汽车销售,20000,[],建设路上段177号附近,"105.822967,28.813694",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,0830-5240678
13,合江超越,汽车销售;汽车销售;汽车销售,20000,[],建设路上段521号,"105.825653,28.811661",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
14,万顺汽贸,汽车销售;汽车销售;汽车销售,20000,[],建设路上段4-6号附近,"105.825209,28.811935",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,[]
15,五菱汽车销售服务店,汽车销售;汽车销售;汽车销售,20000,[],建设路上段137号,"105.824545,28.812866",[],510000,四川省,830,泸州市,510522,合江县,未知,0,[],[],None,0830-5240777
